,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
175,UMPQ,Umpqua Holdings Corp,2020-10-14T10:59:00.000Z,TNS,0.31,,,EDT,-14400000.0,EQUITY
176,RLI,RLI Corp,2020-10-14T10:59:00.000Z,TNS,0.54,,,EDT,-14400000.0,EQUITY
177,CCK,Crown Holdings Inc,2020-10-14T10:59:00.000Z,TNS,1.58,,,EDT,-14400000.0,EQUITY
178,CSX,CSX Corp,2020-10-14T10:59:00.000Z,TNS,0.89,,,EDT,-14400000.0,EQUITY
179,WFC,Wells Fargo & Co,2020-10-14T12:30:00.000Z,BMO,0.36,,,EDT,-14400000.0,EQUITY
180,WTFCM,Wintrust Financial Corp,2020-10-14T14:59:00.000Z,TNS,,,,,,EQUITY
181,CZNC,Citizens & Northern Corp,2020-10-14T20:00:00.000Z,AMC,0.39,,,EDT,-14400000.0,EQUITY
182,CNS,Cohen & Steers Inc,2020-10-14T10:59:00.000Z,TNS,0.6,,,EDT,-14400000.0,EQUITY
183,STLD,Steel Dynamics Inc,2020-10-14T20:00:00.000Z,AMC,0.38,,,EDT,-14400000.0,EQUITY
184,PNC,PNC Financial Services Group Inc,2020-10-14T12:30:00.000Z,BMO,1.64,,,EDT,-14400000.0,EQUITY
185,YVR,Liquid Media Group Ltd,2020-10-14T20:00:00.000Z,AMC,,,,EDT,-14400000.0,EQUITY
186,KMI,Kinder Morgan Inc,2020-10-14T10:59:00.000Z,TNS,0.21,,,EDT,-14400000.0,EQUITY
187,LLNW,Limelight Networks Inc,2020-10-14T16:00:00.000Z,TAS,0.02,,,EDT,-14400000.0,EQUITY
188,WDFC,WD-40 Co,2020-10-15T20:00:00.000Z,AMC,1.13,,,EDT,-14400000.0,EQUITY
189,AUB,Atlantic Union Bankshares Corp,2020-10-15T12:30:00.000Z,BMO,0.46,,,EDT,-14400000.0,EQUITY
190,AMNB,American National Bankshares Inc,2020-10-15T12:30:00.000Z,BMO,0.56,,,EDT,-14400000.0,EQUITY
191,TEAM,Atlassian Corporation PLC,2020-10-15T10:59:00.000Z,TNS,0.27,,,EDT,-14400000.0,EQUITY
192,AUBAP,Atlantic Union Bankshares Corp,2020-10-15T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
193,WAL,Western Alliance Bancorp,2020-10-15T10:59:00.000Z,TNS,0.92,,,EDT,-14400000.0,EQUITY
194,BBT,BB&T Corp,2020-10-15T16:30:00.000Z,BMO,,,,,,EQUITY
195,BMTC,Bryn Mawr Bank Corp,2020-10-15T10:59:00.000Z,TNS,0.61,,,EDT,-14400000.0,EQUITY
196,FFBC,First Financial Bancorp,2020-10-15T20:00:00.000Z,AMC,0.37,,,EDT,-14400000.0,EQUITY
197,EBTC,Enterprise Bancorp Inc,2020-10-15T16:01:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
198,OZK,Bank Ozk,2020-10-15T10:59:00.000Z,TNS,0.57,,,EDT,-14400000.0,EQUITY
199,BMI,Badger Meter Inc,2020-10-15T12:30:00.000Z,BMO,0.37,,,EDT,-14400000.0,EQUITY
200,CVLY,Codorus Valley Bancorp Inc,2020-10-15T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
201,GBCI,Glacier Bancorp Inc,2020-10-15T10:59:00.000Z,TNS,0.63,,,EDT,-14400000.0,EQUITY
202,EWBC,East West Bancorp Inc,2020-10-15T12:30:00.000Z,BMO,0.92,,,EDT,-14400000.0,EQUITY
203,FFIN,First Financial Bankshares Inc,2020-10-15T20:00:00.000Z,AMC,0.34,,,EDT,-14400000.0,EQUITY
204,SASR,Sandy Spring Bancorp Inc,2020-10-15T12:30:00.000Z,BMO,0.71,,,EDT,-14400000.0,EQUITY
205,HOMB,Home BancShares Inc,2020-10-15T12:30:00.000Z,BMO,0.39,,,EDT,-14400000.0,EQUITY
206,INDB,Independent Bank Corp (Massachusetts),2020-10-15T10:59:00.000Z,TNS,0.81,,,EDT,-14400000.0,EQUITY
207,NKSH,National Bankshares Inc,2020-10-15T20:00:00.000Z,AMC,0.52,,,EDT,-14400000.0,EQUITY
208,WABC,Westamerica Bancorp,2020-10-15T10:59:00.000Z,TNS,0.74,,,EDT,-14400000.0,EQUITY
209,BANF,BancFirst Corp,2020-10-15T16:30:00.000Z,TAS,0.81,,,EDT,-14400000.0,EQUITY
210,SBNY,Signature Bank,2020-10-15T12:30:00.000Z,BMO,2.81,,,EDT,-14400000.0,EQUITY
211,ETFC,E*Trade Financial Corp,2020-10-15T10:59:00.000Z,TNS,0.71,,,EDT,-14400000.0,EQUITY
212,GPC,Genuine Parts Co,2020-10-15T12:30:00.000Z,BMO,1.38,,,EDT,-14400000.0,EQUITY
213,CETV,Central European Media Enterprises Ltd,2020-10-15T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
214,UNP,Union Pacific Corp,2020-10-15T12:30:00.000Z,BMO,1.97,,,EDT,-14400000.0,EQUITY
215,DOV,Dover Corp,2020-10-15T07:00:00.000Z,TAS,1.31,,,EDT,-14400000.0,EQUITY
216,POOL,Pool Corp,2020-10-15T12:30:00.000Z,BMO,2.17,,,EDT,-14400000.0,EQUITY
217,GTLS,Chart Industries Inc,2020-10-15T12:30:00.000Z,BMO,0.62,,,EDT,-14400000.0,EQUITY
218,CMC,Commercial Metals Co,2020-10-15T12:30:00.000Z,BMO,0.58,,,EDT,-14400000.0,EQUITY
219,CCNE,CNB Financial Corp,2020-10-15T10:59:00.000Z,TNS,0.37,,,EDT,-14400000.0,EQUITY
220,GNTX,Gentex Corp,2020-10-15T20:00:00.000Z,AMC,0.4,,,EDT,-14400000.0,EQUITY
221,FNB,F.N.B. Corp,2020-10-15T12:30:00.000Z,BMO,0.21,,,EDT,-14400000.0,EQUITY
222,TFC,Truist Financial Corp,2020-10-15T12:30:00.000Z,BMO,0.78,,,EDT,-14400000.0,EQUITY
223,OFLX,Omega Flex Inc,2020-10-15T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
